epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,666.201,0.83763,0.58271,1.02182,0.92007,0.86644,0.92259,0.69418,0.90133,0.51097,1.0216,0.0003095,0.0003095,0.0003095
78,674.8,0.84037,0.57395,1.0275,0.9485,0.84503,0.92762,0.70652,0.88718,0.51273,1.0169,0.000297125,0.000297125,0.000297125
79,682.944,0.85927,0.57321,1.0282,0.94509,0.85471,0.92548,0.69777,0.90253,0.50879,1.01931,0.00028475,0.00028475,0.00028475
80,692.555,0.85454,0.5809,1.03038,0.93369,0.86816,0.9269,0.68084,0.94435,0.52065,1.02875,0.000272375,0.000272375,0.000272375
81,699.936,0.82243,0.56611,1.01437,0.92296,0.87115,0.92404,0.70514,0.87778,0.51186,1.00845,0.00026,0.00026,0.00026
82,708.781,0.80176,0.55573,1.00269,0.93276,0.85802,0.9308,0.71095,0.87159,0.50545,1.00009,0.000247625,0.000247625,0.000247625
83,717.93,0.83369,0.56738,1.02119,0.93194,0.85468,0.93194,0.70664,0.87964,0.50128,1.01239,0.00023525,0.00023525,0.00023525
84,726.447,0.84895,0.5537,1.03175,0.93633,0.84929,0.93258,0.69244,0.91374,0.50102,1.02106,0.000222875,0.000222875,0.000222875
85,734.761,0.85299,0.58051,1.03625,0.92901,0.86304,0.93519,0.69357,0.91061,0.49994,1.02104,0.0002105,0.0002105,0.0002105
86,742.92,0.8287,0.55102,1.01715,0.90914,0.88819,0.93211,0.70585,0.86839,0.49311,1.00503,0.000198125,0.000198125,0.000198125
87,752.221,0.80777,0.55534,1.01253,0.90997,0.88758,0.93269,0.7005,0.89923,0.49942,1.01419,0.00018575,0.00018575,0.00018575
88,760.828,0.83735,0.57988,1.02398,0.9193,0.87561,0.93288,0.70858,0.85718,0.4953,1.00345,0.000173375,0.000173375,0.000173375
89,768.736,0.82139,0.54601,1.00989,0.92214,0.8768,0.9336,0.7085,0.86887,0.49267,1.00458,0.000161,0.000161,0.000161
90,778.543,0.82016,0.58485,1.01971,0.93179,0.87208,0.93623,0.71543,0.85688,0.49259,0.99979,0.000148625,0.000148625,0.000148625
91,813.664,0.74362,0.53494,0.98006,0.92408,0.86516,0.93428,0.69899,0.8986,0.50253,1.0178,0.00013625,0.00013625,0.00013625
92,822.361,0.72339,0.48552,0.97867,0.91965,0.87761,0.93477,0.70404,0.8978,0.49531,1.01319,0.000123875,0.000123875,0.000123875
93,830.284,0.71875,0.47991,0.97961,0.93868,0.86576,0.93501,0.69363,0.9186,0.49473,1.02434,0.0001115,0.0001115,0.0001115
94,838.164,0.7058,0.47038,0.96865,0.92577,0.87773,0.93792,0.70402,0.89543,0.49034,1.01075,9.9125e-05,9.9125e-05,9.9125e-05
95,845.929,0.70446,0.468,0.96089,0.91083,0.88656,0.93852,0.70956,0.89057,0.48495,1.00934,8.675e-05,8.675e-05,8.675e-05
96,853.581,0.70552,0.46431,0.957,0.93095,0.86728,0.93579,0.71557,0.87695,0.48565,1.00597,7.4375e-05,7.4375e-05,7.4375e-05
97,861.454,0.70883,0.45948,0.96696,0.9241,0.87517,0.93928,0.70415,0.90934,0.48779,1.01513,6.2e-05,6.2e-05,6.2e-05
98,869.458,0.70556,0.46292,0.97085,0.9257,0.87372,0.93958,0.71268,0.88971,0.48875,1.00966,4.9625e-05,4.9625e-05,4.9625e-05
99,877.554,0.6932,0.44881,0.96141,0.91726,0.87786,0.94047,0.70352,0.92248,0.49377,1.01529,3.725e-05,3.725e-05,3.725e-05
100,885.091,0.69469,0.45006,0.96063,0.91957,0.87786,0.9402,0.70369,0.92096,0.4926,1.01397,2.4875e-05,2.4875e-05,2.4875e-05
